"Name","Runtime","test/acc","val/acc_best"
"simple-dense 518 right split","217","0.6313875913619995","0.6398809552192688"
"simple-dense 518 wd0.005","235","0.6671149730682373","0.6907572746276855"
"simple-dense 518 wd0.01","245","0.6637524962425232","0.6921969652175903"
"simple-dense 518 wd0.05","233","0.6267653107643127","0.6636913418769836"
"simple-dense 518 wd0","429","0.6597175598144531","0.6854838728904724"
